Time;TPS
5.7273;0.0095
3.7544;0.0063
3.9315;0.0066
4.3644;0.0073
4.1124;0.0069
3.2717;0.0055
3.6923;0.0062
4.3033;0.0072
4.3673;0.0073
3.0375;0.0051
4.0827;0.0068
3.725;0.0062
4.3963;0.0073
3.3192;0.0055
4.432;0.0074
5.2103;0.0087
3.2881;0.0055
4.027;0.0067
4.5016;0.0075
3.8576;0.0064
4.4936;0.0075
3.6986;0.0062
3.6065;0.006
4.2147;0.007
4.2892;0.0071
3.7822;0.0063
3.7226;0.0062
4.1291;0.0069
4.3019;0.0072
4.1492;0.0069
4.7395;0.0079
5.9307;0.0099
4.3126;0.0072
4.3673;0.0073
4.497;0.0075
4.5923;0.0077
4.1589;0.0069
4.1499;0.0069
4.2891;0.0071
5.0055;0.0083
4.0199;0.0067
4.0205;0.0067
5.6198;0.0094
3.8857;0.0065
5.5092;0.0092
5.3134;0.0089
4.0391;0.0067
4.7835;0.008
4.2672;0.0071
5.0327;0.0084
4.6285;0.0077
5.1425;0.0086
4.5037;0.0075
5.2836;0.0088
4.4695;0.0074
5.3409;0.0089
4.689;0.0078
4.5296;0.0075
5.8615;0.0098
4.2683;0.0071
4.5255;0.0075
5.0715;0.0085
4.2604;0.0071
5.252;0.0088
5.7418;0.0096
5.7652;0.0096
5.5297;0.0092
5.527;0.0092
4.7673;0.0079
5.3837;0.009
4.8126;0.008
5.1297;0.0085
5.5559;0.0093
4.8662;0.0081
4.7279;0.0079
6.0626;0.0101
5.6567;0.0094
4.4316;0.0074
4.9648;0.0083
5.7372;0.0096
4.6809;0.0078
6.3367;0.0106
5.3694;0.0089
6.5469;0.0109
4.8033;0.008
5.2437;0.0087
6.1164;0.0102
5.1791;0.0086
4.8059;0.008
5.5392;0.0092
5.1155;0.0085
7.3135;0.0122
5.0527;0.0084
5.6768;0.0095
7.5604;0.0126
7.6338;0.0127
5.2469;0.0087
8.8656;0.0148
4.4866;0.0075
7.9561;0.0133
8.9424;0.0149
5.4977;0.0092
4.1108;0.0069
7.5816;0.0126
4.7881;0.008
5.4797;0.0091
4.884;0.0081
6.8881;0.0115
4.9556;0.0083
6.0336;0.0101
4.8641;0.0081
5.2948;0.0088
5.1141;0.0085
1.7006;0.0028
1.9583;0.0033
1.4358;0.0024
2.3578;0.0039
