Throughput;TPS
121.35479402542114;6.901788756797893e-09
120.93704211711884;1.3176142172068704e-08
88.72964874903361;1.9450495587339516e-08
70.93828284740448;2.5724849002610326e-08
60.68240470886231;3.1999202417881136e-08
54.73517978191376;3.827355583315195e-08
50.45888566970825;4.454790924842276e-08
47.92278096079826;5.082226266369357e-08
46.366766187879776;5.7096616078964383e-08
44.85056076049805;6.33709694942352e-08
44.47942211411216;6.964532290950601e-08
44.19481418530146;7.591967632477682e-08
44.472545018562904;8.219402974004763e-08
44.922071661267964;8.846838315531844e-08
45.063603480656944;9.474273657058925e-08
44.312921702861786;1.0101708998586006e-07
44.603515540852264;1.0729144340113087e-07
46.352354288101196;1.135657968164017e-07
45.33140784815738;1.198401502316725e-07
45.665132355690005;1.2611450364694332e-07
45.8775167124612;1.323888570622141e-07
46.077024546536535;1.3866321047748494e-07
46.613045308900915;1.4493756389275576e-07
46.6345471739769;1.5121191730802656e-07
46.76739025115967;1.5748627072329738e-07
47.04790419798631;1.6376062413856818e-07
47.12649500811541;1.70034977553839e-07
47.1605709365436;1.763093309691098e-07
46.61579049866775;1.8258368438438062e-07
46.016507387161255;1.8885803779965142e-07
46.22624034266318;1.9513239121492224e-07
46.38923827558756;2.0140674463019304e-07
46.513849879756116;2.0768109804546386e-07
46.02056973821976;2.1395545146073469e-07
46.080089630399435;2.2022980487600548e-07
46.237325171629585;2.265041582912763e-07
46.38998503298373;2.327785117065471e-07
46.425550291412755;2.390528651218179e-07
46.14122161498437;2.453272185370887e-07
46.223873579502104;2.516015719523595e-07
46.441852924300406;2.5787592536763037e-07
46.43867783319382;2.6415027878290117e-07
46.14934223197227;2.7042463219817196e-07
46.123711277138106;2.766989856134428e-07
46.163357957204184;2.829733390287136e-07
