Time;TrAmount
121.35479402542114;11
120.51929020881653;21
24.31486201286316;31
17.56418514251709;41
19.658892154693604;51
24.99905514717102;61
24.80112099647522;71
30.170047998428345;81
33.91864800453186;91
31.2047119140625;101
40.768035650253296;111
41.06412696838379;121
47.805315017700195;131
50.765918016433716;141
47.04504895210266;151
33.05269503593445;161
49.25301694869995;171
76.08261299133301;181
26.9543719291687;191
52.005897998809814;201
50.12520384788513;211
50.26668906211853;221
58.40550208091736;231
47.12909007072449;241
49.95562410354614;251
54.060752868652344;261
49.16985607147217;271
48.080621004104614;281
31.36193823814392;291
28.6372971534729;301
52.51822900772095;311
51.442174196243286;321
50.501421213150024;331
29.74232506752014;341
48.10376596450806;351
51.74056911468506;361
51.88574004173279;371
47.74146485328674;381
35.336731910705566;391
49.44730019569397;401
55.1610267162323;411
46.3084990978241;421
33.997246980667114;431
45.0215802192688;441
47.907811880111694;451
121.35479402542114;11
120.51929020881653;21
24.31486201286316;31
17.56418514251709;41
19.658892154693604;51
24.99905514717102;61
24.80112099647522;71
30.170047998428345;81
33.91864800453186;91
31.2047119140625;101
40.768035650253296;111
41.06412696838379;121
47.805315017700195;131
50.765918016433716;141
47.04504895210266;151
33.05269503593445;161
49.25301694869995;171
76.08261299133301;181
26.9543719291687;191
52.005897998809814;201
50.12520384788513;211
50.26668906211853;221
58.40550208091736;231
47.12909007072449;241
49.95562410354614;251
54.060752868652344;261
49.16985607147217;271
48.080621004104614;281
31.36193823814392;291
28.6372971534729;301
52.51822900772095;311
51.442174196243286;321
50.501421213150024;331
29.74232506752014;341
48.10376596450806;351
51.74056911468506;361
51.88574004173279;371
47.74146485328674;381
35.336731910705566;391
49.44730019569397;401
55.1610267162323;411
46.3084990978241;421
33.997246980667114;431
45.0215802192688;441
47.907811880111694;451
121.35479402542114;11
120.51929020881653;21
24.31486201286316;31
17.56418514251709;41
19.658892154693604;51
24.99905514717102;61
24.80112099647522;71
30.170047998428345;81
33.91864800453186;91
31.2047119140625;101
40.768035650253296;111
41.06412696838379;121
47.805315017700195;131
50.765918016433716;141
47.04504895210266;151
33.05269503593445;161
49.25301694869995;171
76.08261299133301;181
26.9543719291687;191
52.005897998809814;201
50.12520384788513;211
50.26668906211853;221
58.40550208091736;231
47.12909007072449;241
49.95562410354614;251
54.060752868652344;261
49.16985607147217;271
48.080621004104614;281
31.36193823814392;291
28.6372971534729;301
52.51822900772095;311
51.442174196243286;321
50.501421213150024;331
29.74232506752014;341
48.10376596450806;351
51.74056911468506;361
51.88574004173279;371
47.74146485328674;381
35.336731910705566;391
49.44730019569397;401
55.1610267162323;411
46.3084990978241;421
33.997246980667114;431
45.0215802192688;441
47.907811880111694;451
121.35479402542114;11
120.51929020881653;21
24.31486201286316;31
17.56418514251709;41
19.658892154693604;51
24.99905514717102;61
24.80112099647522;71
30.170047998428345;81
33.91864800453186;91
31.2047119140625;101
40.768035650253296;111
41.06412696838379;121
47.805315017700195;131
50.765918016433716;141
47.04504895210266;151
33.05269503593445;161
49.25301694869995;171
76.08261299133301;181
26.9543719291687;191
52.005897998809814;201
50.12520384788513;211
50.26668906211853;221
58.40550208091736;231
47.12909007072449;241
49.95562410354614;251
54.060752868652344;261
49.16985607147217;271
48.080621004104614;281
31.36193823814392;291
28.6372971534729;301
52.51822900772095;311
51.442174196243286;321
50.501421213150024;331
29.74232506752014;341
48.10376596450806;351
51.74056911468506;361
51.88574004173279;371
47.74146485328674;381
35.336731910705566;391
49.44730019569397;401
55.1610267162323;411
46.3084990978241;421
33.997246980667114;431
45.0215802192688;441
47.907811880111694;451
23.930376291275024;51
34.8240110874176;101
38.348066091537476;151
41.719080209732056;201
49.292691230773926;251
54.99929618835449;301
37.738885164260864;351
46.429221868515015;401
57.07662534713745;451
25.943578958511353;51
46.92637896537781;101
