Latency;TPS
9.952934741973877;2.1097739739628008
19.855164289474487;2.046271640167146
33.238749980926514;1.9190278217275178
41.66973304748535;1.9193146890769324
60.689051151275635;1.8196340310880974
45.40191698074341;1.996931984005337
63.11774015426636;2.04784419010789
49.23533296585083;2.2309051229912953
61.424736976623535;2.3425892412909137
43.55183219909668;2.5713761772590447
15.017148971557617;1.3982321679147596
30.811940908432007;1.3309020454338338
48.851036071777344;1.2778643582076359
68.17145991325378;1.2341381168487953
65.80892896652222;1.3162307816995977
73.24771881103516;1.3943221363403593
122.1680498123169;1.3227486504899384
49.32476997375488;1.5228610688127187
122.67011308670044;1.5114094817562358
81.17641973495483;1.6255091105463493
21.178604125976562;0.9915226087107268
42.41247820854187;0.9592197576745178
64.92120504379272;0.941513140457708
88.83827710151672;0.9247439799185851
115.05887269973755;0.905482409511954
117.49051642417908;0.9357347377779204
122.58797478675842;0.9799023352010369
101.16055989265442;1.0702553521845672
121.25675177574158;1.1334289201540426
38.27977108955383;1.3213819338584158
